episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,r_stability,r_centering,r_scale,phase,target_offset,init_pos,init_vel,init_ang
196,30809,679.88,342,88.3,0.604,0.1615,0.4313,0.8231,0.7052,0.6058,A,0.141,0.221,0.11,0.05
197,31092,413.15,283,75.3,0.6172,0.1735,0.4788,0.6511,0.5737,0.5178,A,0.141,0.221,0.11,0.05
198,31332,550.19,240,87.9,0.4173,0.2087,0.4338,0.65,1.0692,0.7358,A,0.142,0.221,0.11,0.05
199,31569,437.56,237,72.6,0.3769,0.2175,0.476,0.5427,0.974,0.646,A,0.142,0.221,0.111,0.05
200,31803,395.16,234,70.1,0.4454,0.2092,0.4423,0.6505,0.7857,0.5944,A,0.142,0.221,0.111,0.05
201,32035,492.79,232,78.4,0.3699,0.1869,0.4034,0.7181,1.0399,0.6247,A,0.143,0.221,0.111,0.05
202,32261,413.52,226,93.8,0.5801,0.1412,0.4877,0.5973,0.7595,0.5792,A,0.143,0.222,0.111,0.05
203,32503,470.19,242,86.8,0.4833,0.1621,0.4559,0.6078,0.8918,0.6169,A,0.143,0.222,0.111,0.05
204,32700,429.65,197,100.0,0.4949,0.1598,0.4857,0.5724,1.0198,0.6395,A,0.144,0.222,0.111,0.05
205,32918,404.85,218,90.4,0.5049,0.1566,0.4923,0.493,0.9047,0.6016,A,0.144,0.222,0.111,0.05
206,33119,419.85,201,88.6,0.4979,0.1708,0.4835,0.6356,0.9993,0.6182,A,0.144,0.222,0.111,0.05
207,33357,555.68,238,99.2,0.4556,0.141,0.4448,0.6531,1.1053,0.6269,A,0.144,0.222,0.111,0.05
208,33554,437.81,197,99.0,0.4737,0.1827,0.4526,0.5552,1.057,0.6712,A,0.145,0.222,0.111,0.05
209,33757,450.31,203,100.0,0.4687,0.143,0.4728,0.6056,1.0555,0.6064,A,0.145,0.223,0.111,0.05
210,33973,406.76,216,91.2,0.5263,0.1567,0.4654,0.5049,0.9233,0.5892,A,0.145,0.223,0.111,0.05
211,34194,550.57,221,100.0,0.3603,0.1238,0.3921,0.646,1.3408,0.5497,A,0.146,0.223,0.111,0.05
212,34391,333.57,197,71.1,0.4556,0.2387,0.4023,0.6185,0.8266,0.5883,A,0.146,0.223,0.111,0.05
213,34573,398.73,182,100.0,0.5347,0.1699,0.4653,0.6068,0.9637,0.6753,A,0.146,0.223,0.112,0.05
214,34786,476.17,213,100.0,0.5422,0.1625,0.4593,0.6313,0.986,0.6652,A,0.146,0.223,0.112,0.05
215,35038,644.76,252,100.0,0.3377,0.141,0.4741,0.5971,1.3978,0.6033,A,0.147,0.223,0.112,0.05
216,35234,452.08,196,100.0,0.4259,0.1476,0.4748,0.5428,1.1927,0.6221,A,0.147,0.223,0.112,0.05
217,35439,408.25,205,79.0,0.4012,0.2016,0.444,0.5686,1.0294,0.6519,A,0.147,0.224,0.112,0.05
