episode,step,drone_x,drone_y,drone_z,target_x,target_y,target_z,centroid_x,centroid_y,fraction,visible,r_stability,r_centering,r_scale,reward,action_mag,controller_state
1,104,-0.096,-0.037,0.15,-0.05,0.18,-1.302,0.266,-0.533,0.2178,1.0,0.997,0.691,0.965,2.653,0.033,track
1,105,-0.095,-0.038,0.154,-0.05,0.18,-1.302,0.265,-0.535,0.2168,1.0,0.997,0.686,0.962,2.645,0.026,track
1,106,-0.095,-0.04,0.158,-0.05,0.18,-1.302,0.265,-0.535,0.2168,1.0,0.997,0.686,0.962,2.645,0.038,track
1,107,-0.094,-0.041,0.162,-0.05,0.18,-1.302,0.264,-0.544,0.2129,1.0,0.997,0.668,0.953,2.618,0.034,track
1,108,-0.094,-0.042,0.166,-0.05,0.18,-1.302,0.262,-0.542,0.2119,1.0,0.997,0.674,0.951,2.622,0.048,track
1,109,-0.093,-0.044,0.17,-0.05,0.18,-1.302,0.257,-0.547,0.209,1.0,0.997,0.668,0.943,2.608,0.036,track
1,110,-0.093,-0.045,0.174,-0.05,0.18,-1.302,0.258,-0.55,0.208,1.0,0.997,0.661,0.941,2.599,0.039,track
1,111,-0.092,-0.046,0.178,-0.05,0.18,-1.302,0.258,-0.55,0.208,1.0,0.998,0.661,0.941,2.599,0.042,track
1,112,-0.092,-0.048,0.182,-0.05,0.18,-1.302,0.258,-0.55,0.208,1.0,0.998,0.661,0.941,2.599,0.055,track
1,113,-0.092,-0.049,0.186,-0.05,0.18,-1.302,0.26,-0.551,0.207,1.0,0.998,0.656,0.938,2.592,0.044,track
1,114,-0.091,-0.05,0.19,-0.05,0.18,-1.302,0.258,-0.553,0.2061,1.0,0.998,0.655,0.935,2.588,0.051,track
1,115,-0.091,-0.051,0.194,-0.05,0.18,-1.302,0.256,-0.553,0.2051,1.0,0.998,0.656,0.932,2.586,0.041,track
1,116,-0.09,-0.053,0.198,-0.05,0.18,-1.302,0.256,-0.553,0.2051,1.0,0.998,0.656,0.932,2.586,0.048,track
1,117,-0.089,-0.054,0.202,-0.05,0.18,-1.302,0.256,-0.553,0.2051,1.0,0.998,0.656,0.932,2.586,0.039,track
1,118,-0.089,-0.055,0.206,-0.05,0.18,-1.302,0.254,-0.552,0.2041,1.0,0.998,0.661,0.929,2.589,0.047,track
1,119,-0.088,-0.056,0.21,-0.05,0.18,-1.302,0.255,-0.554,0.2031,1.0,0.998,0.655,0.927,2.579,0.035,track
1,120,-0.088,-0.057,0.214,-0.05,0.18,-1.302,0.252,-0.557,0.2012,1.0,0.998,0.651,0.921,2.57,0.046,track
1,121,-0.087,-0.058,0.218,-0.05,0.18,-1.302,0.252,-0.557,0.2012,1.0,0.998,0.651,0.921,2.57,0.059,track
1,122,-0.087,-0.059,0.222,-0.05,0.18,-1.302,0.252,-0.56,0.2002,1.0,0.998,0.645,0.917,2.56,0.042,track
1,123,-0.086,-0.06,0.226,-0.05,0.18,-1.302,0.25,-0.565,0.1982,1.0,0.998,0.637,0.911,2.546,0.051,track
1,124,-0.086,-0.061,0.229,-0.05,0.18,-1.302,0.252,-0.567,0.1973,1.0,0.998,0.631,0.908,2.538,0.063,track
1,125,-0.085,-0.062,0.233,-0.05,0.18,-1.302,0.244,-0.57,0.1924,1.0,0.998,0.63,0.891,2.52,0.056,track
1,126,-0.084,-0.063,0.237,-0.05,0.18,-1.302,0.235,-0.567,0.1885,1.0,0.998,0.645,0.877,2.52,0.052,track
1,127,-0.084,-0.064,0.241,-0.05,0.18,-1.302,0.235,-0.567,0.1885,1.0,0.998,0.645,0.877,2.52,0.027,track
1,128,-0.083,-0.065,0.245,-0.05,0.18,-1.302,0.235,-0.567,0.1885,1.0,0.999,0.645,0.877,2.52,0.045,track
1,129,-0.083,-0.066,0.249,-0.05,0.18,-1.302,0.235,-0.567,0.1885,1.0,0.999,0.645,0.877,2.52,0.041,track
1,130,-0.082,-0.067,0.253,-0.05,0.18,-1.302,0.235,-0.57,0.1875,1.0,0.999,0.639,0.873,2.511,0.041,track
1,131,-0.081,-0.068,0.256,-0.05,0.18,-1.302,0.235,-0.571,0.1855,1.0,0.999,0.636,0.866,2.501,0.054,track
1,132,-0.081,-0.069,0.26,-0.05,0.18,-1.302,0.235,-0.571,0.1855,1.0,0.999,0.636,0.866,2.501,0.052,track
1,133,-0.08,-0.069,0.264,-0.05,0.18,-1.302,0.235,-0.571,0.1855,1.0,0.999,0.636,0.866,2.501,0.042,track
1,134,-0.08,-0.07,0.268,-0.05,0.18,-1.302,0.237,-0.569,0.1846,1.0,0.999,0.64,0.862,2.5,0.043,track
1,135,-0.079,-0.071,0.271,-0.05,0.18,-1.302,0.235,-0.567,0.1836,1.0,0.999,0.646,0.858,2.503,0.033,track
