episode,timestep,reward,steps,mean_pos_error,mean_alt_error,omega_scale,phase,r_tracking,r_velocity,r_altitude,r_stability,r_progress,r_off_track
172,28043,8.69,240,0.997,0.8352,0.353,A,0.5271,0.7362,0.0259,0.7183,0.1,-0.175
173,28304,9.16,261,0.949,0.6564,0.353,A,0.519,0.6709,0.2561,0.6208,0.1,-0.2989
174,28544,9.33,240,1.6431,0.7133,0.353,A,0.4943,0.8495,0.2081,0.7272,0.1,-0.3125
175,28797,11.87,253,1.2943,0.676,0.357,A,0.6882,0.9093,0.2351,0.8184,0.1,-0.2628
176,29116,11.58,319,1.7547,1.0382,0.357,A,0.4703,0.8057,0.1612,0.7239,0.1,-0.3245
177,29565,14.6,449,1.2233,0.8043,0.357,A,0.3291,0.8013,0.2428,0.6307,0.1,-0.3697
178,29827,11.31,262,1.2209,0.8263,0.357,A,0.6542,0.7749,0.153,0.863,0.1,-0.2366
179,30107,10.68,280,1.0652,0.7993,0.357,A,0.4936,0.6716,0.1873,0.7755,0.1,-0.1821
180,30386,12.54,279,1.1033,0.7823,0.357,A,0.7149,0.9187,0.1829,0.7347,0.1,-0.2419
181,30654,10.53,268,1.2185,0.9912,0.357,A,0.5195,0.9014,0.1237,0.7617,0.1,-0.2817
182,31018,11.94,364,1.7454,1.7138,0.361,A,0.3434,0.9349,0.0841,0.6727,0.1,-0.3613
183,31322,11.22,304,1.4177,0.8532,0.361,A,0.4951,0.8028,0.1648,0.7493,0.1,-0.3141
184,31663,11.2,341,1.9404,0.9402,0.361,A,0.3104,0.8109,0.131,0.7895,0.1,-0.3622
185,31991,12.76,328,1.7085,1.3475,0.361,A,0.4321,0.9035,0.0978,0.9053,0.1,-0.3369
186,32278,12.45,287,1.1089,0.6389,0.361,A,0.6682,0.7793,0.2261,0.7928,0.1,-0.2178
187,32545,9.76,267,0.9141,0.7586,0.361,A,0.5135,0.7241,0.1904,0.6241,0.1,-0.1592
188,32847,13.25,302,1.2511,1.0691,0.366,A,0.7083,0.8207,0.1431,0.8454,0.1,-0.2351
189,33088,9.1,241,1.1703,0.7728,0.366,A,0.5178,0.8565,0.1914,0.6571,0.1,-0.249
190,33349,10.88,261,1.3076,0.7806,0.366,A,0.5924,0.9151,0.1728,0.7861,0.1,-0.2835
191,33669,12.45,320,1.055,0.719,0.366,A,0.4798,0.6905,0.2236,0.8236,0.1,-0.1875
192,33941,10.83,272,1.1169,0.7047,0.366,A,0.5333,0.8225,0.2287,0.7076,0.1,-0.204
193,34179,9.69,238,1.174,0.7005,0.366,A,0.6879,0.8044,0.2008,0.6866,0.1,-0.2353
194,34464,10.93,285,1.4155,1.1832,0.366,A,0.5199,0.8494,0.1175,0.8331,0.1,-0.3088
195,34725,10.25,261,0.9562,0.8798,0.366,A,0.6166,0.7683,0.1439,0.7258,0.1,-0.1877
196,34994,10.88,269,1.1841,1.0076,0.37,A,0.5862,0.9181,0.1183,0.7707,0.1,-0.2602
197,35300,11.55,306,1.3677,1.1965,0.37,A,0.4614,0.9301,0.1095,0.7954,0.1,-0.3105
198,35588,11.75,288,1.3563,1.0852,0.37,A,0.6208,0.9139,0.1215,0.7857,0.1,-0.2865
199,35889,11.55,301,1.1712,0.8488,0.37,A,0.5498,0.9534,0.1388,0.6836,0.1,-0.2957
200,36166,10.21,277,1.2884,0.8098,0.37,A,0.5811,0.8946,0.1468,0.6289,0.1,-0.2978
201,36468,12.57,302,1.0742,0.9418,0.37,A,0.6462,0.8042,0.1362,0.8468,0.1,-0.2185
202,36820,12.75,352,1.2605,1.5178,0.37,A,0.4364,0.8765,0.0864,0.8445,0.1,-0.3224
203,37158,11.99,338,1.2472,1.1148,0.374,A,0.4262,0.9394,0.119,0.7362,0.1,-0.3388
204,37497,12.78,339,1.1333,0.9702,0.374,A,0.4612,0.8751,0.1406,0.7786,0.1,-0.2507
205,37875,13.99,378,1.3775,1.3836,0.374,A,0.4782,0.8441,0.0904,0.8797,0.1,-0.3228
206,38240,13.22,365,1.3054,1.1661,0.374,A,0.5155,0.7605,0.1185,0.8244,0.1,-0.2877
207,38613,12.76,373,1.3752,1.514,0.374,A,0.3514,0.8638,0.0943,0.8764,0.1,-0.3646
208,38939,12.82,326,1.2524,1.2863,0.378,A,0.4932,0.8981,0.1042,0.9027,0.1,-0.2914
209,39374,13.37,435,1.5566,1.2851,0.378,A,0.2899,0.9039,0.0682,0.7562,0.1,-0.392
210,39662,10.81,288,1.3154,1.4552,0.378,A,0.501,0.8763,0.0899,0.8579,0.1,-0.3142
211,40010,12.06,348,1.0096,0.6597,0.378,A,0.4331,0.6456,0.2214,0.7742,0.1,-0.2299
212,40296,11.48,286,1.367,1.0091,0.378,A,0.5097,0.9233,0.1398,0.8914,0.1,-0.3094
213,40671,13.54,375,1.5649,1.495,0.378,A,0.4337,0.9366,0.0867,0.8009,0.1,-0.3307
214,40973,14.32,302,0.8836,0.8503,0.382,A,0.9545,0.7878,0.1536,0.8468,0.1,-0.1772
215,41322,12.51,349,1.2093,0.8761,0.382,A,0.4835,0.7417,0.1401,0.8179,0.1,-0.2479
216,41631,11.57,309,1.0473,0.665,0.382,A,0.5432,0.8726,0.1634,0.7374,0.1,-0.2848
217,41937,13.32,306,0.4436,0.7808,0.382,A,0.6465,0.8537,0.2531,0.7702,0.1,-0.1454
218,42276,13.1,339,1.0954,0.6088,0.382,A,0.4621,0.9297,0.2831,0.6968,0.1,-0.2655
219,42571,10.95,295,1.1377,0.5927,0.382,A,0.5251,0.7228,0.2714,0.6979,0.1,-0.1915
220,42926,14.36,355,1.0896,0.5816,0.382,A,0.6909,0.7638,0.2461,0.7585,0.1,-0.2465
221,43283,13.77,357,0.9484,0.5755,0.386,A,0.4377,0.87,0.3162,0.7417,0.1,-0.2451
222,43632,13.61,349,0.8337,1.0094,0.386,A,0.6214,0.9682,0.0985,0.7469,0.1,-0.2837
223,43992,10.99,360,1.0715,0.9601,0.386,A,0.3166,0.8811,0.1248,0.7145,0.1,-0.3667
224,44317,13.52,325,1.143,0.9583,0.386,A,0.7426,0.8849,0.1107,0.7718,0.1,-0.2046
225,44864,14.04,547,1.6829,1.906,0.386,A,0.407,0.6424,0.0698,0.6177,0.1,-0.3455
226,45318,14.47,454,0.8859,0.6838,0.39,A,0.3281,0.8177,0.1505,0.7677,0.1,-0.3051
227,45673,13.67,355,0.846,0.571,0.39,A,0.463,0.9578,0.2632,0.7503,0.1,-0.2901
228,46040,14.57,367,1.4062,0.4418,0.39,A,0.4197,0.8546,0.5039,0.7666,0.1,-0.3297
229,46369,11.8,329,0.762,1.0061,0.39,A,0.5807,0.8434,0.1391,0.7249,0.1,-0.2857
230,46777,14.74,408,1.5289,1.2964,0.39,A,0.5666,0.8649,0.1432,0.7332,0.1,-0.2917
231,47060,10.5,283,0.7344,0.6932,0.39,A,0.6748,0.688,0.2039,0.7471,0.1,-0.2261
232,47426,13.48,366,1.3065,0.9331,0.394,A,0.5665,0.8213,0.1211,0.847,0.1,-0.2883
233,47850,12.72,424,1.3096,1.3698,0.394,A,0.3558,0.841,0.0772,0.7609,0.1,-0.3656
234,48137,10.52,287,0.8265,0.6059,0.394,A,0.4196,0.9457,0.3092,0.7236,0.1,-0.3345
235,48413,8.53,276,0.5555,0.6139,0.394,A,0.4344,0.653,0.2533,0.6332,0.1,-0.2446
236,48757,11.12,344,0.9847,1.07,0.394,A,0.4247,0.9337,0.1102,0.6828,0.1,-0.3488
237,49149,12.14,392,1.4632,0.8636,0.394,A,0.3223,0.8515,0.1047,0.795,0.1,-0.3546
238,49493,13.43,344,1.088,0.5623,0.398,A,0.4907,0.9309,0.2478,0.7556,0.1,-0.2355
239,49787,10.37,294,0.7769,0.7175,0.398,A,0.4535,0.8422,0.2034,0.7447,0.1,-0.2653
240,50240,11.96,453,1.0307,0.9732,0.398,A,0.3781,0.6278,0.1366,0.6323,0.1,-0.3245
241,50543,9.09,303,0.8424,1.1527,0.398,A,0.3371,0.8438,0.1022,0.7353,0.1,-0.3498
242,50857,10.69,314,0.6277,1.0916,0.398,A,0.5446,0.8419,0.1088,0.7006,0.1,-0.2962
243,51197,12.77,340,1.3775,0.4741,0.398,A,0.3664,0.9023,0.4216,0.7519,0.1,-0.3426
244,51532,14.87,335,1.2249,0.5012,0.402,A,0.6824,0.857,0.4373,0.7579,0.1,-0.2358
245,51914,13.5,382,1.4584,0.8865,0.402,A,0.4701,0.8814,0.1599,0.7895,0.1,-0.3181
