episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_speed,target_offset,init_pos,init_vel,init_ang
113,14366,87.76,382,81.2,0.9672,0.0864,0.486,0.5177,0.8897,0.1236,0.3314,0.274,-0.5325,A,0.0853,0.213,0.206,0.103,0.031
114,15366,-769.96,1000,0.0,0.0,0.0,0.3957,0.6403,0.9861,0.0,0.0,0.4473,-0.7103,A,0.0721,0.214,0.207,0.103,0.031
115,15877,-458.63,511,0.0,0.0,0.0,0.3878,0.535,0.8929,0.0,0.0,0.2931,-0.52,A,0.0964,0.214,0.207,0.104,0.031
116,16877,-647.11,1000,0.0,0.0,0.0,0.393,0.5794,0.987,0.0,0.0,0.4626,-0.6032,A,0.0589,0.215,0.208,0.104,0.032
117,19877,-1547.08,3000,17.2,1.0732,0.0543,0.4641,0.5217,0.9055,0.0093,0.0508,0.3424,-0.5388,A,0.0786,0.218,0.209,0.104,0.032
118,20065,-227.63,188,0.0,0.0,0.0,0.499,0.4319,0.6028,0.0,0.0,0.2296,-0.3894,A,0.0585,0.218,0.209,0.104,0.032
119,20245,-198.97,180,5.0,1.2833,0.009,0.545,0.4014,0.6897,0.0,0.0067,0.2178,-0.3559,A,0.0991,0.218,0.209,0.104,0.032
120,20578,-326.73,333,6.6,1.0019,0.0615,0.5467,0.4084,0.5977,0.001,0.0209,0.1832,-0.3543,A,0.0974,0.218,0.209,0.105,0.032
121,22309,-705.49,1731,17.9,0.987,0.0778,0.4337,0.5288,0.935,0.022,0.0691,0.4199,-0.5313,A,0.072,0.22,0.21,0.105,0.032
122,22459,-195.83,150,0.0,0.0,0.0,0.4498,0.4397,0.7721,0.0,0.0,0.147,-0.3918,A,0.0691,0.22,0.21,0.105,0.032
123,22684,261.77,225,99.1,0.6863,0.1721,0.4372,0.4381,0.7968,0.6683,0.682,0.2088,-0.3657,A,0.0991,0.22,0.21,0.105,0.032
124,23074,-412.65,390,0.0,0.0,0.0,0.4337,0.5455,0.8917,0.0,0.0,0.2079,-0.5522,A,0.0709,0.221,0.21,0.105,0.032
125,23594,-530.81,520,0.4,1.3186,0.0034,0.4114,0.5269,0.9207,0.0,0.0005,0.1453,-0.516,A,0.0833,0.221,0.21,0.105,0.032
126,24078,-83.3,484,30.8,0.6567,0.1712,0.4369,0.529,0.913,0.3377,0.2079,0.1909,-0.5342,A,0.1012,0.221,0.211,0.105,0.032
127,24449,-418.41,371,0.0,0.0,0.0,0.4312,0.5341,0.834,0.0,0.0,0.1721,-0.5481,A,0.1043,0.222,0.211,0.105,0.032
128,24993,-581.53,544,8.6,0.9113,0.0318,0.4684,0.5211,0.7479,0.0241,0.0167,0.1234,-0.546,A,0.0876,0.222,0.211,0.106,0.032
129,25658,-572.85,665,0.0,0.0,0.0,0.4026,0.4524,0.8744,0.0,0.0,0.1805,-0.3939,A,0.0689,0.223,0.211,0.106,0.032
130,25977,177.22,319,72.4,0.779,0.1659,0.3868,0.4301,0.8865,0.0904,0.5631,0.3127,-0.3556,A,0.0868,0.223,0.212,0.106,0.032
131,26533,-99.17,556,31.7,0.6178,0.2153,0.4565,0.4771,0.882,0.1991,0.2638,0.2175,-0.463,A,0.0706,0.224,0.212,0.106,0.032
132,27030,-476.09,497,0.0,0.0,0.0,0.4264,0.4914,0.8934,0.0,0.0,0.183,-0.4667,A,0.0619,0.224,0.212,0.106,0.032
133,27315,147.21,285,74.0,0.7192,0.1544,0.4627,0.4612,0.8492,0.2741,0.4946,0.2699,-0.4254,A,0.0908,0.224,0.212,0.106,0.032
134,27880,-505.02,565,4.4,1.0979,0.0148,0.4232,0.4705,0.8898,0.0002,0.0065,0.1397,-0.426,A,0.0643,0.225,0.212,0.106,0.032
135,28045,-77.29,165,69.1,1.0744,0.0361,0.5614,0.5058,0.8389,0.0057,0.1468,0.2288,-0.5385,A,0.0781,0.225,0.212,0.106,0.032
136,28477,-455.09,432,0.0,0.0,0.0,0.4195,0.4913,0.9375,0.0,0.0,0.0835,-0.4636,A,0.0767,0.225,0.213,0.106,0.033
137,28796,159.04,319,79.9,0.8173,0.1501,0.4583,0.4535,0.8166,0.1156,0.5462,0.2749,-0.4096,A,0.0724,0.226,0.213,0.106,0.033
138,29352,246.37,556,66.2,0.7716,0.1273,0.4571,0.4629,0.905,0.2091,0.3619,0.3278,-0.4342,A,0.0698,0.226,0.213,0.107,0.033
139,29908,-334.89,556,24.8,0.953,0.0798,0.4771,0.4601,0.9026,0.0123,0.0975,0.1286,-0.4279,A,0.0944,0.227,0.213,0.107,0.033
140,30356,-525.16,448,0.0,0.0,0.0,0.4376,0.5496,0.8859,0.0,0.0,0.0804,-0.5593,A,0.0737,0.227,0.213,0.107,0.033
141,31099,-588.93,743,14.5,0.9818,0.0441,0.4227,0.5147,0.9138,0.0025,0.034,0.1515,-0.5082,A,0.0888,0.228,0.214,0.107,0.033
142,31713,-653.28,614,5.9,1.2758,0.0113,0.5067,0.5012,0.8312,0.0,0.0082,0.0691,-0.5207,A,0.0812,0.228,0.214,0.107,0.033
143,32991,-290.66,1278,34.6,0.833,0.1478,0.5397,0.4103,0.8296,0.1222,0.2169,0.1164,-0.3828,A,0.0781,0.229,0.215,0.107,0.033
144,33185,-256.09,194,9.8,1.2394,0.0123,0.5455,0.5081,0.6287,0.0001,0.0139,0.1337,-0.5317,A,0.0875,0.229,0.215,0.107,0.033
145,33503,-284.27,318,17.9,1.0529,0.0254,0.4578,0.496,0.8322,0.0013,0.0316,0.1604,-0.4823,A,0.0952,0.23,0.215,0.107,0.033
146,34417,307.91,914,66.0,0.8159,0.1435,0.4847,0.4983,0.8615,0.1842,0.403,0.2529,-0.5004,A,0.1061,0.231,0.215,0.108,0.033
147,35556,344.78,1139,50.3,0.6789,0.1753,0.4503,0.5197,0.8882,0.313,0.3546,0.2869,-0.5253,A,0.0905,0.232,0.216,0.108,0.033
148,37411,-1590.6,1855,0.2,1.0104,0.0033,0.4957,0.52,0.8843,0.0,0.0002,0.2515,-0.5351,A,0.0997,0.233,0.217,0.108,0.033
149,38006,-623.87,595,0.0,0.0,0.0,0.414,0.5463,0.9629,0.0,0.0,0.1174,-0.5497,A,0.1,0.234,0.217,0.108,0.033
150,38954,-813.4,948,0.0,0.0,0.0,0.4094,0.5575,0.9652,0.0,0.0,0.2805,-0.5673,A,0.0873,0.235,0.217,0.109,0.033
151,39211,-174.96,257,34.6,0.8003,0.1056,0.4327,0.53,0.8167,0.1267,0.1752,0.1527,-0.5237,A,0.082,0.235,0.217,0.109,0.033
152,39960,-2.49,749,53.0,0.8646,0.1295,0.4161,0.4837,0.8729,0.075,0.3022,0.2089,-0.4458,A,0.0929,0.236,0.218,0.109,0.034
153,40960,-735.68,1000,0.0,0.0,0.0,0.4227,0.5938,0.9774,0.0,0.0,0.4111,-0.6355,A,0.0799,0.236,0.218,0.109,0.034
154,42201,-297.53,1241,34.9,0.8782,0.1239,0.425,0.5447,0.9147,0.0693,0.2022,0.3133,-0.5471,A,0.0986,0.238,0.219,0.109,0.034
155,43325,-1007.41,1124,8.4,1.081,0.042,0.4532,0.5434,0.8888,0.0007,0.02,0.1568,-0.5602,A,0.0813,0.239,0.219,0.11,0.034
156,44934,1106.56,1609,60.2,0.6369,0.1993,0.4673,0.4957,0.8856,0.4433,0.4831,0.2863,-0.4866,A,0.0649,0.24,0.22,0.11,0.034
157,46023,937.69,1089,74.1,0.7505,0.1609,0.4549,0.455,0.8515,0.4564,0.4721,0.2713,-0.427,A,0.0686,0.241,0.22,0.11,0.034
158,46451,-266.62,428,31.8,1.1646,0.0424,0.4589,0.5038,0.913,0.0006,0.0736,0.179,-0.507,A,0.0668,0.241,0.221,0.11,0.034
159,46918,-152.78,467,50.1,1.1311,0.0526,0.4862,0.4385,0.834,0.0029,0.1401,0.1585,-0.4094,A,0.0756,0.242,0.221,0.11,0.034
160,47458,-615.32,540,0.0,0.0,0.0,0.4504,0.5212,0.7665,0.0,0.0,0.0958,-0.5088,A,0.0702,0.242,0.221,0.111,0.034
161,47639,-210.62,181,11.0,0.9781,0.0388,0.5134,0.4648,0.669,0.0052,0.0239,0.2098,-0.4577,A,0.0799,0.242,0.221,0.111,0.034
162,48065,-450.89,426,9.4,1.066,0.018,0.4668,0.5254,0.8072,0.0215,0.0146,0.1093,-0.5303,A,0.0932,0.243,0.221,0.111,0.034
163,48745,-776.23,680,0.0,0.0,0.0,0.4503,0.5317,0.8017,0.0,0.0,0.0691,-0.5286,A,0.0988,0.243,0.222,0.111,0.034
