episode,timestep,reward,steps,mean_pos_error,mean_alt_error,omega_scale,phase,r_tracking,r_velocity,r_altitude,r_stability,r_progress,r_off_track
179,34606,6.16,296,0.6237,1.4537,0.366,A,0.505,0.4795,0.0004,0.5785,0.1,-0.3074
180,35000,9.78,394,0.3731,1.3595,0.37,A,0.5933,0.5135,0.009,0.5088,0.1,-0.1269
181,35202,7.63,202,0.2652,0.9944,0.37,A,1.1146,0.6882,0.0009,0.6509,0.1,-0.1163
182,35560,10.17,358,0.346,0.6465,0.37,A,0.5319,0.4701,0.2109,0.5897,0.1,-0.0768
183,35865,12.86,305,0.2901,0.4855,0.37,A,1.1016,0.6685,0.1989,0.756,0.1,-0.123
184,36092,7.12,227,0.337,1.2373,0.37,A,0.8269,0.5345,0.0004,0.6772,0.1,-0.0991
185,36319,8.55,227,0.2024,1.2411,0.37,A,1.0208,0.6468,0.0002,0.6849,0.1,-0.0132
186,36592,10.43,273,0.1987,0.7452,0.37,A,1.2103,0.4851,0.0066,0.7184,0.1,-0.0549
187,36977,12.45,385,0.56,1.0262,0.374,A,1.0339,0.4587,0.0087,0.6377,0.1,-0.1519
188,37297,10.85,320,0.4299,0.6363,0.374,A,0.8876,0.5441,0.2673,0.5576,0.1,-0.15
189,37578,9.79,281,0.6073,0.3371,0.374,A,0.5389,0.6673,0.4336,0.7321,0.1,-0.1993
190,37970,15.11,392,0.3322,0.51,0.374,A,0.9513,0.606,0.233,0.8088,0.1,-0.1913
191,38243,11.47,273,0.3081,0.512,0.374,A,1.1934,0.7238,0.1231,0.7239,0.1,-0.1026
192,38634,15.82,391,0.4291,0.4464,0.374,A,0.8846,0.7032,0.3557,0.7488,0.1,-0.124
193,38895,9.99,261,0.2081,0.8686,0.374,A,1.1906,0.6215,0.0012,0.7035,0.1,-0.0651
194,39589,20.48,694,1.4786,0.4445,0.378,A,0.4752,0.5485,0.4254,0.762,0.1,-0.3494
195,40084,16.75,495,0.9574,0.878,0.378,A,0.724,0.7924,0.1216,0.7717,0.1,-0.2434
196,40695,18.41,611,0.7076,0.6571,0.378,A,0.5041,0.6426,0.2704,0.7555,0.1,-0.2439
197,41001,13.16,306,0.3525,0.5882,0.382,A,1.158,0.7601,0.2175,0.8017,0.1,-0.1258
198,41431,10.96,430,0.4647,1.0443,0.382,A,0.7809,0.4641,0.0027,0.607,0.1,-0.2128
199,41921,14.78,490,0.8414,0.809,0.382,A,0.5014,0.7675,0.1848,0.7756,0.1,-0.2724
200,42572,15.62,651,0.7634,1.9452,0.382,A,0.337,0.6391,0.0001,0.8546,0.1,-0.2972
201,42984,12.83,412,0.4333,0.7097,0.382,A,0.8053,0.54,0.2457,0.6125,0.1,-0.1833
202,43677,16.9,693,1.4898,0.4682,0.386,A,0.2718,0.5316,0.3795,0.7267,0.1,-0.3521
203,44250,13.98,573,1.1328,1.2807,0.386,A,0.4074,0.6402,0.1527,0.6722,0.1,-0.315
204,44695,12.44,445,0.495,1.4693,0.386,A,0.793,0.5013,0.0001,0.6693,0.1,-0.1663
205,45430,18.63,735,1.4919,1.0967,0.39,A,0.492,0.5188,0.1875,0.7551,0.1,-0.3347
206,46024,13.77,594,1.4885,1.3246,0.39,A,0.3653,0.721,0.1146,0.6288,0.1,-0.3476
207,46623,16.5,599,1.3022,1.3488,0.39,A,0.4596,0.7532,0.0854,0.7611,0.1,-0.2813
208,47192,14.96,569,0.7581,1.0198,0.394,A,0.5916,0.6206,0.1683,0.5906,0.1,-0.2724
209,47615,11.72,423,0.3321,1.7064,0.394,A,0.7383,0.5995,0.0004,0.5646,0.1,-0.0993
210,48128,13.65,513,0.451,1.5729,0.394,A,0.5554,0.6303,0.0001,0.7397,0.1,-0.2027
211,48694,13.46,566,0.9251,0.9747,0.394,A,0.4278,0.6298,0.1338,0.6007,0.1,-0.2641
212,49260,15.87,566,0.6213,1.4197,0.398,A,0.7321,0.6694,0.0002,0.6925,0.1,-0.2739
213,49884,17.19,624,0.7845,0.768,0.398,A,0.6344,0.5732,0.123,0.661,0.1,-0.1971
214,50349,14.05,465,0.4297,1.1096,0.398,A,0.8479,0.5101,0.0006,0.7417,0.1,-0.1129
215,51198,20.25,849,1.46,1.3144,0.398,A,0.4634,0.5565,0.096,0.727,0.1,-0.2956
216,51689,12.29,491,1.0879,1.4885,0.402,A,0.4426,0.6765,0.1109,0.6997,0.1,-0.2892
217,52135,13.31,446,0.6621,0.6909,0.402,A,0.6591,0.5942,0.1631,0.719,0.1,-0.1614
218,52666,15.22,531,0.7631,1.303,0.402,A,0.5059,0.7283,0.0979,0.7764,0.1,-0.2156
219,53227,16.83,561,0.6337,0.6424,0.402,A,0.6469,0.6122,0.2492,0.6887,0.1,-0.2094
220,53692,16.3,465,0.4899,1.1252,0.406,A,0.8459,0.6658,0.1386,0.8445,0.1,-0.1473
221,54510,29.17,818,0.6021,0.6822,0.406,A,0.8038,0.668,0.3672,0.7586,0.1,-0.187
222,55035,14.37,525,0.2854,1.2281,0.406,A,0.7915,0.5438,0.0082,0.6587,0.1,-0.1429
223,55706,18.44,671,0.4204,1.3113,0.411,A,0.6676,0.5876,0.015,0.7704,0.1,-0.1766
224,56270,21.55,564,0.2868,0.7275,0.411,A,1.0932,0.6062,0.3631,0.7261,0.1,-0.1507
225,56829,16.7,559,0.2962,1.1317,0.411,A,0.7675,0.5696,0.1849,0.65,0.1,-0.1038
226,57604,18.94,775,0.5121,1.4558,0.415,A,0.5423,0.5746,0.1174,0.6751,0.1,-0.2342
227,58068,14.94,464,0.3001,0.8741,0.415,A,0.8072,0.599,0.1366,0.8123,0.1,-0.1099
228,58628,14.42,560,0.6557,0.9287,0.415,A,0.7146,0.5376,0.1424,0.5987,0.1,-0.2134
229,59029,13.64,401,0.3643,0.435,0.415,A,0.663,0.7534,0.3321,0.8063,0.1,-0.1658
230,59553,17.83,524,0.3889,1.0392,0.419,A,0.853,0.7438,0.1177,0.8821,0.1,-0.2052
231,60092,15.27,539,0.4301,1.2746,0.419,A,0.7801,0.6159,0.0071,0.7051,0.1,-0.1215
232,60599,21.28,507,0.1481,0.8971,0.419,A,1.35,0.7005,0.0957,0.8535,0.1,-0.003
233,61442,31.68,843,0.2595,1.625,0.423,A,0.9681,0.8133,0.0897,0.8627,0.1,-0.0285
234,62038,19.71,596,0.3099,0.9118,0.423,A,1.058,0.6405,0.157,0.7025,0.1,-0.1586
235,62683,22.72,645,0.3922,0.4663,0.423,A,0.8872,0.6472,0.3555,0.819,0.1,-0.1256
236,63181,19.72,498,0.1879,0.4698,0.423,A,1.2168,0.6881,0.2302,0.8236,0.1,-0.0231
237,63972,22.58,791,0.632,0.8583,0.427,A,0.582,0.7118,0.2437,0.7627,0.1,-0.1966
238,64592,20.9,620,0.5096,0.4496,0.427,A,0.7754,0.7437,0.3132,0.8482,0.1,-0.1613
239,65097,16.72,505,0.2606,0.5147,0.427,A,0.964,0.635,0.2332,0.754,0.1,-0.0931
240,65597,15.32,500,0.3948,0.5341,0.431,A,0.7495,0.6648,0.2025,0.7906,0.1,-0.101
241,66317,23.65,720,0.2299,0.9169,0.431,A,0.9694,0.6206,0.1254,0.8095,0.1,-0.0493
242,66867,15.22,550,0.2805,1.2632,0.431,A,0.9455,0.5739,0.0227,0.6247,0.1,-0.0818
243,67431,16.86,564,0.3853,0.8322,0.431,A,0.8528,0.6392,0.2484,0.6896,0.1,-0.1684
244,68008,15.07,577,0.3847,1.087,0.435,A,0.723,0.5314,0.2643,0.6019,0.1,-0.1508
245,68673,23.88,665,0.3658,0.8634,0.435,A,1.2137,0.6033,0.3013,0.7388,0.1,-0.1083
