episode,timestep,reward,steps,visibility_pct,survived,mean_action_mag,mean_action_jerk,r_track_sum,r_alive_sum,r_jerk_sum,term_reason
269,46960,148.26,167,100.0,0,0.393,0.4344,141.561,16.7,0.0,altitude_high
270,47156,96.7,196,77.0,0,0.5763,0.402,77.102,19.6,0.0,
271,47334,67.04,178,86.0,0,0.3396,0.3233,59.241,17.8,0.0,altitude_low
272,47509,129.01,175,100.0,0,0.5149,0.3062,111.51,17.5,0.0,
273,47715,172.73,206,100.0,0,0.4763,0.4635,152.13,20.6,0.0,
274,47942,126.35,227,100.0,0,0.3785,0.3939,103.652,22.7,0.0,
275,48130,153.15,188,100.0,0,0.4844,0.4417,134.354,18.8,0.0,
276,48327,109.06,197,90.9,0,0.4272,0.3714,99.361,19.7,0.0,altitude_high
277,48475,123.13,148,100.0,0,0.3781,0.3183,118.331,14.8,0.0,altitude_high
278,48674,127.91,199,99.5,0,0.4842,0.3892,108.015,19.9,0.0,
279,48870,75.59,196,77.6,0,0.4666,0.4145,55.988,19.6,0.0,
280,48990,88.46,120,100.0,0,0.4445,0.4052,86.456,12.0,0.0,altitude_high
281,49140,105.69,150,100.0,0,0.4834,0.4977,100.686,15.0,0.0,altitude_high
282,49287,109.16,147,100.0,0,0.4075,0.4253,104.462,14.7,0.0,altitude_high
283,49475,62.32,188,78.7,0,0.468,0.4649,43.517,18.8,0.0,
284,49658,138.72,183,100.0,0,0.425,0.3669,130.424,18.3,0.0,altitude_high
285,49840,151.15,182,100.0,0,0.4638,0.471,132.948,18.2,0.0,
286,49966,107.47,126,100.0,0,0.413,0.3924,104.873,12.6,0.0,altitude_high
287,50121,105.73,155,100.0,0,0.4117,0.4249,100.234,15.5,0.0,altitude_high
288,50367,134.6,246,100.0,0,0.4435,0.4385,109.996,24.6,0.0,
289,50505,87.31,138,94.9,0,0.4782,0.3198,73.51,13.8,0.0,
290,50673,150.3,168,100.0,0,0.4842,0.449,133.496,16.8,0.0,
291,50789,102.09,116,100.0,0,0.4772,0.3393,100.49,11.6,0.0,altitude_high
292,50951,116.54,162,100.0,0,0.4761,0.521,110.336,16.2,0.0,altitude_high
293,51122,143.27,171,100.0,0,0.4815,0.4582,126.166,17.1,0.0,
294,51458,248.25,336,100.0,0,0.3894,0.4161,214.653,33.6,0.0,
